inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
2253758,18,M,Concluído,1,0,0,0,0,1,A,11,<= 998.00,476.5,530.6,546.2,600.2,560.0,MA,SÃO JOSÉ DE RIBAMAR,2111201
124351,27,F,Concluído,1,0,0,0,0,1,A,3,<= 998.00,,,,,,MA,BARÃO DE GRAJAÚ,2101509
4500873,44,F,Concluído,1,0,0,0,0,1,B,2,2994.00 até 3992.00,541.1,591.8,609.9,472.2,500.0,RJ,RIO DE JANEIRO,3304557
921870,17,M,Cursando,2,0,0,0,0,1,A,5,<= 998.00,426.2,536.2,441.0,473.5,500.0,CE,FORTALEZA,2304400
887019,16,M,Cursando,1,1,0,0,0,1,B,4,2495.00 até 2994.00,583.0,634.7,591.0,601.2,620.0,SP,SÃO PAULO,3550308
457080,18,M,Cursando,2,0,0,0,0,1,B,5,1497.00 até 1996.00,446.2,400.7,421.5,387.3,620.0,RN,NATAL,2408102
1683879,31,F,Concluído,1,0,0,0,0,1,B,4,3992.00 até 4990.00,,,,,,RS,SANTIAGO,4317400
4643324,18,M,Cursando,1,1,0,0,0,1,A,5,998.00 até 1497.00,487.7,524.3,539.5,439.0,540.0,BA,VALENÇA,2932903
1911568,17,F,Cursando,1,1,0,0,0,1,B,3,998.00 até 1497.00,458.6,532.8,547.7,504.7,600.0,PE,PANELAS,2610202
4551665,20,F,Concluído,1,0,0,0,0,1,A,2,Nenhuma Renda,,507.6,494.6,,620.0,MA,MAGALHÃES DE ALMEIDA,2106300
3215880,16,F,Cursando,1,1,0,0,0,1,B,3,<= 998.00,612.1,626.4,654.2,823.2,660.0,SP,SÃO PAULO,3550308
2107656,19,M,Concluído,1,0,0,0,0,1,B,4,5988.00 até 6986.00,,,,,,MA,SÃO LUÍS,2111300
491323,18,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,466.4,472.1,496.5,558.0,820.0,PB,LAGOA SECA,2508307
1250333,19,F,Cursando,2,0,0,0,0,1,B,4,1497.00 até 1996.00,538.0,468.3,555.5,393.6,580.0,BA,ITABUNA,2914802
1902026,17,F,Cursando,2,0,0,0,0,1,B,1,5988.00 até 6986.00,607.7,614.2,625.3,799.2,840.0,RS,SANTA MARIA,4316907
545151,20,F,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,,,,,RJ,SÃO JOÃO DE MERITI,3305109
194691,26,M,Concluído,1,0,0,0,0,1,A,3,Nenhuma Renda,486.9,515.5,532.9,467.4,360.0,AP,MACAPÁ,1600303
132446,19,M,Concluído,1,0,0,0,0,1,B,3,4990.00 até 5988.00,532.1,461.7,613.2,830.0,920.0,CE,FORTALEZA,2304400
